FMU-1_Sim1.mat (times);heatCapacitor.T;switch_Controll
0;20;0
0.02;20.1993;0
0.04;20.3981;0
0.06;20.5965;0
0.08;20.7944;0
0.1;20.9916;0
0.12;21.1883;0
0.14;21.3846;0
0.16;21.5804;0
0.18;21.7757;0
0.2;21.9704;0
0.22;22.1645;0
0.24;22.3581;0
0.26;22.5512;0
0.28;22.7438;0
0.3;22.9358;0
0.32;23.1274;0
0.34;23.3184;0
0.36;23.5089;0
0.38;23.6989;0
0.4;23.8884;0
0.42;24.0774;0
0.44;24.266;0
0.46;24.4539;0
0.48;24.6414;0
0.5;24.8284;0
0.52;25.0149;0
0.54;25.2009;0
0.56;25.3863;0
0.58;25.5712;0
0.6;25.7557;0
0.62;25.9396;0
0.64;25.992;1
0.66;25.98;1
0.68;25.9681;1
0.7;25.9562;1
0.72;25.9443;1
0.74;25.9325;1
0.76;25.9206;1
0.78;25.9088;1
0.8;25.8971;1
0.82;25.8853;1
0.84;25.8736;1
0.86;25.8619;1
0.88;25.8502;1
0.9;25.8386;1
0.92;25.827;1
0.94;25.8153;1
0.96;25.8037;1
0.98;25.7922;1
1;25.7806;1
1.02;25.7691;1
1.04;25.7576;1
1.06;25.7461;1
1.08;25.7346;1
1.1;25.7231;1
1.12;25.7117;1
1.14;25.7003;1
1.16;25.6889;1
1.18;25.6776;1
1.2;25.6662;1
1.22;25.6549;1
1.24;25.6436;1
1.26;25.6324;1
1.28;25.6211;1
1.3;25.6099;1
1.32;25.5987;1
1.34;25.5875;1
1.36;25.5764;1
1.38;25.5652;1
1.4;25.5541;1
1.42;25.543;1
1.44;25.5319;1
1.46;25.5209;1
1.48;25.5099;1
1.5;25.4989;1
1.52;25.4879;1
1.54;25.4769;1
1.56;25.466;1
1.58;25.455;1
1.6;25.4441;1
1.62;25.4333;1
1.64;25.4224;1
1.66;25.4116;1
1.68;25.4008;1
1.7;25.3899;1
1.72;25.3792;1
1.74;25.3684;1
1.76;25.3577;1
1.78;25.347;1
1.8;25.3363;1
1.82;25.3256;1
1.84;25.315;1
1.86;25.3043;1
1.88;25.2938;1
1.9;25.2832;1
1.92;25.2726;1
1.94;25.2621;1
1.96;25.2516;1
1.98;25.2411;1
2;25.2306;1
2.02;25.2201;1
2.04;25.2098;1
2.06;25.1995;1
2.08;25.1891;1
2.1;25.1788;1
2.12;25.1685;1
2.14;25.1582;1
2.16;25.1479;1
2.18;25.1377;1
2.2;25.1274;1
2.22;25.1172;1
2.24;25.107;1
2.26;25.0968;1
2.28;25.254;0
2.3;25.4378;0
2.32;25.6211;0
2.34;25.804;0
2.36;25.9866;0
2.38;26.1689;0
2.4;26.3508;0
2.42;26.5324;0
2.44;26.7137;0
2.46;26.8946;0
2.48;27.0752;0
2.5;27.255;0
2.52;27.4343;0
2.54;27.6131;0
2.56;27.7915;0
2.58;27.9695;0
2.6;28.147;0
2.62;28.3241;0
2.64;28.5008;0
2.66;28.677;0
2.68;28.812;1
2.7;28.7944;1
2.72;28.7769;1
2.74;28.7594;1
2.76;28.7419;1
2.78;28.7245;1
2.8;28.7071;1
2.82;28.6897;1
2.84;28.6724;1
2.86;28.6551;1
2.88;28.6378;1
2.9;28.6206;1
2.92;28.6034;1
2.94;28.5862;1
2.96;28.5691;1
2.98;28.552;1
3;28.5349;1
3.02;28.5179;1
3.04;28.5009;1
3.06;28.4839;1
3.08;28.5307;0
3.1;28.7063;0
3.12;28.8814;0
3.14;29.0562;0
3.16;29.2306;0
3.18;29.4048;0
3.2;29.5785;0
3.22;29.7516;0
3.24;29.9244;0
3.26;30.0967;0
3.28;30.2686;0
3.3;30.44;0
3.32;30.6109;0
3.34;30.7814;0
3.36;30.9514;0
3.38;31.1209;0
3.4;31.2901;0
3.42;31.4587;0
3.44;31.6269;0
3.46;31.7947;0
3.48;31.9621;0
3.5;32.1289;0
3.52;32.2954;0
3.54;32.3581;1
3.56;32.3335;1
3.58;32.309;1
3.6;32.2844;1
3.62;32.26;1
3.64;32.2356;1
3.66;32.2111;1
3.68;32.1868;1
3.7;32.1624;1
3.72;32.1382;1
3.74;32.114;1
3.76;32.0899;1
3.78;32.0658;1
3.8;32.0418;1
3.82;32.0178;1
3.84;31.9938;1
3.86;31.9699;1
3.88;31.946;1
3.9;31.9222;1
3.92;32.079;0
3.94;32.2443;0
3.96;32.4088;0
3.98;32.573;0
4;32.7369;0
4.02;32.9005;0
4.04;33.0638;0
4.06;33.2269;0
4.08;33.3896;0
4.1;33.552;0
4.12;33.7142;0
4.14;33.876;0
4.16;34.0376;0
4.18;34.1986;0
4.2;34.3589;0
4.22;34.5189;0
4.24;34.6785;0
4.26;34.8376;0
4.28;34.9964;0
4.3;35.1549;0
4.32;35.3129;0
4.34;35.4705;0
4.36;35.6278;0
4.38;35.7847;0
4.4;35.9412;0
4.42;36.0611;1
4.44;36.029;1
4.46;35.9971;1
4.48;35.9651;1
4.5;35.9333;1
4.52;35.9015;1
4.54;35.8698;1
4.56;35.8382;1
4.58;35.8066;1
4.6;35.775;1
4.62;35.7436;1
4.64;35.7122;1
4.66;35.6808;1
4.68;35.6495;1
4.7;35.6182;1
4.72;35.587;1
4.74;35.5559;1
4.76;35.5248;1
4.78;35.641;0
4.8;35.7969;0
4.82;35.9521;0
4.84;36.107;0
4.86;36.2615;0
4.88;36.4159;0
4.9;36.5699;0
4.92;36.7237;0
4.94;36.8771;0
4.96;37.0304;0
4.98;37.1833;0
5;37.336;0
5.02;37.4881;0
5.04;37.6397;0
5.06;37.7909;0
5.08;37.9417;0
5.1;38.0922;0
5.12;38.2423;0
5.14;38.3921;0
5.16;38.5415;0
5.18;38.6905;0
5.2;38.8392;0
5.22;38.9875;0
5.24;39.1354;0
5.26;39.2829;0
5.28;39.43;0
5.3;39.5767;0
5.32;39.723;0
5.34;39.869;0
5.36;39.9711;1
5.38;39.9313;1
5.4;39.8916;1
5.42;39.8519;1
5.44;39.8122;1
5.46;39.7727;1
5.48;39.7333;1
5.5;39.694;1
5.52;39.6547;1
5.54;39.6155;1
5.56;39.5763;1
5.58;39.5373;1
5.6;39.4983;1
5.62;39.4594;1
5.64;39.4205;1
5.66;39.3817;1
5.68;39.343;1
5.7;39.475;0
5.72;39.6206;0
5.74;39.7654;0
5.76;39.9098;0
5.78;40.0541;0
5.8;40.198;0
5.82;40.3417;0
5.84;40.4852;0
5.86;40.6284;0
5.88;40.7713;0
5.9;40.914;0
5.92;41.0565;0
5.94;41.1986;0
5.96;41.3405;0
5.98;41.482;0
6;41.6229;0
6.02;41.7634;0
6.04;41.9036;0
6.06;42.0434;0
6.08;42.1829;0
6.1;42.3221;0
6.12;42.4609;0
6.14;42.5995;0
6.16;42.7376;0
6.18;42.8755;0
6.2;43.013;0
6.22;43.1502;0
6.24;43.287;0
6.26;43.4235;0
6.28;43.5595;0
6.3;43.6952;0
6.32;43.8306;0
6.34;43.9656;0
6.36;44.1003;0
6.38;44.2346;0
6.4;44.2416;1
6.42;44.1934;1
6.44;44.1453;1
6.46;44.0974;1
6.48;44.0495;1
6.5;44.0016;1
6.52;43.9539;1
6.54;43.9062;1
6.56;43.8585;1
6.58;43.811;1
6.6;43.7635;1
6.62;43.716;1
6.64;43.6687;1
6.66;43.6215;1
6.68;43.5744;1
6.7;43.6058;0
6.72;43.7409;0
6.74;43.8754;0
6.76;44.0097;0
6.78;44.1438;0
6.8;44.2776;0
6.82;44.4111;0
6.84;44.5445;0
6.86;44.6776;0
6.88;44.8101;0
6.9;44.9424;0
6.92;45.0743;0
6.94;45.2059;0
6.96;45.3372;0
6.98;45.4682;0
7;45.5989;0
7.02;45.7293;0
7.04;45.8592;0
7.06;45.9888;0
7.08;46.1181;0
7.1;46.247;0
7.12;46.3756;0
7.14;46.5039;0
7.16;46.6318;0
7.18;46.7595;0
7.2;46.8867;0
7.22;47.0137;0
7.24;47.1403;0
7.26;47.2667;0
7.28;47.3926;0
7.3;47.5183;0
7.32;47.6437;0
7.34;47.7688;0
7.36;47.8936;0
7.38;48.018;0
7.4;48.1421;0
7.42;48.2659;0
7.44;48.3894;0
7.46;48.5125;0
7.48;48.6353;0
7.5;48.7578;0
7.52;48.88;0
7.54;49.0019;0
7.56;49.1234;0
7.58;49.2446;0
7.6;49.212;1
7.62;49.1539;1
7.64;49.0961;1
7.66;49.0384;1
7.68;48.9808;1
7.7;48.9232;1
7.72;48.8658;1
7.74;48.8084;1
7.76;48.7511;1
7.78;48.6938;1
7.8;48.6367;1
7.82;48.5796;1
7.84;48.5226;1
7.86;48.4656;1
7.88;48.5256;0
7.9;48.6476;0
7.92;48.7689;0
7.94;48.89;0
7.96;49.0109;0
7.98;49.1315;0
8;49.2519;0
8.02;49.3724;0
8.04;49.4921;0
8.06;49.6107;0
8.08;49.7292;0
8.1;49.8474;0
8.12;49.9654;0
8.14;50.0833;0
8.16;50.2009;0
8.18;50.3183;0
8.2;50.4355;0
8.22;50.5525;0
8.24;50.6693;0
8.26;50.7859;0
8.28;50.9023;0
8.3;50.9901;1
8.32;50.9283;1
8.34;50.8666;1
8.36;50.805;1
8.38;50.7435;1
8.4;50.6822;1
8.42;50.621;1
8.44;50.5599;1
8.46;50.499;1
8.48;50.4381;1
8.5;50.3773;1
8.52;50.3167;1
8.54;50.2561;1
8.56;50.1957;1
8.58;50.1354;1
8.6;50.0752;1
8.62;50.0152;1
8.64;49.9553;1
8.66;49.8955;1
8.68;49.8358;1
8.7;49.7762;1
8.72;49.7168;1
8.74;49.6574;1
8.76;49.5982;1
8.78;49.5391;1
8.8;49.4801;1
8.82;49.4212;1
8.84;49.3624;1
8.86;49.3038;1
8.88;49.2452;1
8.9;49.1868;1
8.92;49.1285;1
8.94;49.0703;1
8.96;49.0122;1
8.98;49.0956;0
9;49.2161;0
9.02;49.3357;0
9.04;49.4551;0
9.06;49.5742;0
9.08;49.6932;0
9.1;49.8119;0
9.12;49.9305;0
9.14;50.0489;0
9.16;50.167;0
9.18;50.2849;0
9.2;50.4026;0
9.22;50.5201;0
9.24;50.6374;0
9.26;50.7544;0
9.28;50.8708;0
9.3;50.987;0
9.32;50.9451;1
9.34;50.8835;1
9.36;50.8224;1
9.38;50.7613;1
9.4;50.7003;1
9.42;50.6394;1
9.44;50.5786;1
9.46;50.5178;1
9.48;50.4572;1
9.5;50.3966;1
9.52;50.3361;1
9.54;50.2756;1
9.56;50.2153;1
9.58;50.155;1
9.6;50.0948;1
9.62;50.0348;1
9.64;49.9749;1
9.66;49.9152;1
9.68;49.8555;1
9.7;49.796;1
9.72;49.7366;1
9.74;49.6773;1
9.76;49.6181;1
9.78;49.559;1
9.8;49.5;1
9.82;49.4412;1
9.84;49.3824;1
9.86;49.3237;1
9.88;49.2651;1
9.9;49.2067;1
9.92;49.1483;1
9.94;49.0902;1
9.96;49.0321;1
9.98;49.0541;0
10;49.1749;0
